Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-05,46.94316083023494,46.94316083023494,45.91452370727002,46.28857421875,15811693,0.0,0
2020-10-06,46.38208546215937,46.66262513178859,46.054793937205396,46.4288444519043,14682271,0.0,0
2020-10-07,46.56911219841469,47.317209684359916,46.28857608708651,47.13018798828125,12358062,0.0,0
2020-10-08,46.756135904749996,47.2236972637975,46.61586607015172,47.08342742919922,12287207,0.0,0
2020-10-09,46.94316178614863,47.27045331495078,46.61586669013635,46.709381103515625,7351538,0.0,0
2020-10-12,46.38208631641084,47.69125957475887,46.38208631641084,47.504234313964844,12836185,0.0,0
2020-10-14,48.719895454336836,48.719895454336836,47.50423655270045,47.971797943115234,21496433,0.0,0
2020-10-15,47.55098997308022,47.87828507289476,46.989917755126946,46.98991775512695,13327465,0.0,0
2020-10-16,47.03667396154575,47.317210075191106,46.75613784790039,46.75613784790039,14803474,0.0,0
2020-10-19,46.66262568043105,47.176942468781625,46.569111267051774,46.709381103515625,11508147,0.0,0
2020-10-20,46.47560042088263,46.94316178614863,46.47560042088263,46.709381103515625,11403197,0.0,0
2020-10-21,47.73801478334253,49.047188035799515,47.410723253833346,48.53287124633789,39676516,0.0,0
2020-10-22,47.97179900482931,48.112068851942325,46.94316535003513,47.22370147705078,25173527,0.0,0
2020-10-23,47.22370107313651,47.64450704366594,46.75613967637278,47.59775161743164,13828581,0.0,0
2020-10-27,46.75613459071217,47.27045135776802,46.709379169563455,47.03667068481445,19580090,0.0,0
2020-10-28,46.7561384935002,46.943163760916256,45.86777114868164,45.86777114868164,18049510,0.0,0
2020-10-29,45.587235685486846,45.63399111120938,44.4183322063718,44.97940444946289,27851932,0.0,0
2020-10-30,44.792383666819305,44.792383666819305,43.857260864315435,44.091041564941406,29052507,0.0,0
2020-11-02,44.60535463131689,45.77425803587336,44.51184021862632,45.40020751953125,26700004,0.0,0
2020-11-03,46.054796416097695,46.241821683513756,45.30669891364375,45.86777114868164,18452887,0.0,0
2020-11-04,45.86776656683919,45.96128097481097,44.792377629238054,44.93264389038086,20478234,0.0,0
2020-11-05,46.10154990178577,46.709381103515625,45.8210137960682,46.709381103515625,27020014,0.0,0
2020-11-06,46.94316079212023,47.64450282516822,46.75613553653209,47.45747756958008,25453167,0.0,0
2020-11-09,47.550988012133836,47.83152767675151,46.94316039561891,47.31720733642578,22124416,0.0,0
2020-11-10,48.11206646319195,48.205577311817585,47.36396897255625,47.92504119873047,22634606,0.0,0
2020-11-11,48.626381060038945,50.44987106323242,48.345844959673045,50.44987106323242,45723385,0.0,0
2020-11-12,50.12257855170144,50.16933754350935,48.766653402317594,49.234214782714844,39256524,0.0,0
2020-11-13,46.3820873182331,46.8496486967121,46.148306628993595,46.75613784790039,64179767,0.0,0
2020-11-16,45.5404779855319,45.96128393044088,44.32481914140274,45.026161193847656,99691510,0.0,0
2020-11-17,44.79238286505071,45.166429839030705,44.324821472167976,44.32482147216797,64624157,0.0,0
2020-11-18,44.27806037040186,44.371574784851056,43.76374357616687,43.99752426147461,62401901,0.0,0
2020-11-19,43.857255507273834,44.97939987944334,43.5767158470215,44.04427719116211,48856058,0.0,0
2020-11-20,43.529960271833765,44.27805770636644,43.529960271833765,43.90401077270508,37753605,0.0,0
2020-11-23,43.8572582280381,44.137794338484035,43.2494270160634,43.48320770263672,45549101,0.0,0
2020-11-24,43.34293725505405,44.65211050836126,43.20267098540622,44.37157440185547,41934961,0.0,0
2020-11-25,44.5118408203125,45.07291660240997,44.5118408203125,44.5118408203125,34223253,0.0,0
2020-11-26,44.55859756469727,44.97939992104506,44.37157231342605,44.558597564697266,21781149,0.0,0
2020-11-27,44.418332464630616,44.6053577358185,43.99752649626047,44.465087890625,24128536,0.0,0
2020-11-30,44.51183858734878,44.60535299661222,43.38969421386719,43.38969421386719,71414644,0.0,0
2020-12-01,43.062400047783726,43.57671682443237,43.062400047783726,43.296180725097656,42565550,0.0,0
2020-12-02,43.24942508805559,44.324817625237195,43.015644411903935,43.81049728393555,38059552,0.0,0
2020-12-03,44.04428178267006,44.41833232386039,43.85726007928523,44.32482147216797,25232941,0.0,0
2020-12-04,44.137793551635546,44.184548974674655,43.4832069274576,43.71698760986328,43229839,0.0,0
2020-12-07,43.24942662258791,43.57671815392884,43.01564593814149,43.34293746948242,31399181,0.0,0
2020-12-08,43.015644287249636,43.1091551305553,42.50132751464844,42.50132751464844,39082287,0.0,0
2020-12-09,42.50132828714521,42.78186438937121,42.220792184919226,42.267547607421875,41272449,0.0,0
2020-12-10,42.22079296085315,42.267548384215075,41.612961755517716,42.03376770019531,39281130,0.0,0
2020-12-11,42.0337650042411,42.0337650042411,41.425933837890625,41.425933837890625,40167834,0.0,0
2020-12-14,41.42593883051174,42.36106161931431,41.332427978515625,41.332427978515625,42854717,0.0,0
2020-12-15,41.42593367998834,41.75322875570256,41.05188675129911,41.285667419433594,41321956,0.0,0
2020-12-16,41.753231826686665,42.314304044592774,41.2389114651942,41.51945114135742,33710315,0.0,0
2020-12-17,41.192153011853854,41.6129589279379,41.192153011853854,41.285667419433594,41373582,0.0,0
2020-12-18,41.14540143889881,43.15591679972909,41.14540143889881,42.59484100341797,70610237,0.0,0
2020-12-21,42.454570760106,42.50132618029092,41.285667419433594,41.285667419433594,45348734,0.0,0
2020-12-22,41.192153369809965,41.706470130733216,40.864861858461516,40.911617279052734,49981044,0.0,0
2020-12-23,41.14540060586268,41.566206552773764,40.86486449699201,41.005130767822266,35860384,0.0,0
2020-12-24,41.51945114135742,41.51945114135742,41.51945114135742,41.51945114135742,0,0.0,0
2020-12-28,41.84674221080738,42.922134778304354,41.84674221080738,42.5480842590332,37195999,0.0,0
2020-12-29,42.080522575061536,42.548083937006666,41.706472058621394,41.753231048583984,47212245,0.0,0
2020-12-30,41.14540060586268,41.19215602947276,40.86486449699201,41.005130767822266,88978484,0.0,0
2020-12-31,41.47269058227539,41.47269058227539,41.47269058227539,41.47269058227539,0,0.0,0
2021-01-04,40.21027786482035,41.893498085254514,39.46218038542851,41.005130767822266,159056313,0.0,0
2021-01-05,39.6959616481273,44.465086269933316,39.64920622383709,43.10915756225586,225016589,0.0,0
2021-01-06,42.82862145393067,44.371575426145874,42.17403481216634,43.623477935791016,97525202,0.0,0
2021-01-07,40.67783947172168,41.47269237934252,40.30378894624707,40.490814208984375,358371301,0.0,0
2021-01-08,36.46978741381542,39.7427170535168,36.46978741381542,38.807594299316406,1078582648,0.0,0
2021-01-11,39.6024444891395,42.22079087454539,39.6024444891395,41.05188751220703,516309959,0.0,0
2021-01-12,41.379182035155694,44.371575573738944,41.379182035155694,43.76374435424805,260763885,0.0,0
2021-01-13,43.5299633678008,44.83913664675234,42.92213571966703,42.96889114379883,158327830,0.0,0
2021-01-14,43.43645488974662,44.97940537355176,43.342940469169996,44.091041564941406,147539743,0.0,0
2021-01-15,44.13779160031621,44.97939987944334,43.5767158470215,44.04427719116211,88363295,0.0,0
2021-01-18,44.137795826210166,46.7093834651956,44.137795826210166,46.00804138183594,170533364,0.0,0
2021-01-19,46.75613520265215,47.87828316095781,46.19506300710433,46.66262435913086,136964168,0.0,0
2021-01-20,47.45747525351388,48.15881725233428,45.63398534313886,45.82101058959961,133764437,0.0,0
2021-01-21,46.24181901789444,46.52235511924182,44.88589036630367,45.77425765991211,77417937,0.0,0
2021-01-22,45.353452709853634,45.63398881729729,44.09103844275207,44.5118408203125,94744347,0.0,0
2021-01-25,44.27806327167386,45.44696677480369,43.997527144364774,44.091041564941406,102460603,0.0,0
2021-01-26,43.99752377859121,44.04427920169757,42.40781442250399,42.5480842590332,146502057,0.0,0
2021-01-27,43.10915747778974,45.25994266302753,42.50132982878749,44.792381286621094,159562725,0.0,0
2021-01-28,44.13779464621003,45.96128472763719,44.09103922201143,44.792381286621094,115835726,0.0,0
2021-01-29,45.07291604788814,45.63398825587273,44.137793323107104,44.23130416870117,79552490,0.0,0
2021-02-01,44.41833052158524,45.680744804262005,44.41833052158524,45.306697845458984,66741049,0.0,0
2021-02-02,45.493722711513,46.61586714534107,45.16642761230469,45.16642761230469,75329701,0.0,0
2021-02-03,45.16642629009234,46.00803815803601,44.60535408960326,45.11967086791992,51017758,0.0,0
2021-02-04,44.97940163508398,45.35345215188044,43.763742806310646,44.23130416870117,71168338,0.0,0
2021-02-05,44.13779395100071,44.46508548244601,43.7637434288831,43.85725784301758,48457022,0.0,0
2021-02-08,44.23130439771377,44.46508508011946,43.52996235049671,43.71698760986328,41816401,0.0,0
2021-02-09,43.529963126509344,43.71698838921003,43.202671592190775,43.48320770263672,31346368,0.0,0
2021-02-10,43.95076711651055,43.95076711651055,43.34293593163224,43.81049728393555,30363609,0.0,0
2021-02-11,44.465087890625,44.465087890625,44.465087890625,44.465087890625,0,0.0,0
2021-02-16,44.65210988241804,44.93264598499121,44.27805936751375,44.74562072753906,49137463,0.0,0
2021-02-17,44.652109473642675,46.428844052357505,44.371573373637716,46.28857421875,62592182,0.0,0
2021-02-18,46.56911480254067,48.95367723298927,46.33533410215923,47.22370147705078,193349199,0.0,0
2021-02-19,48.01855186958212,50.730409276208206,47.597749485114456,50.262847900390625,165069191,0.0,0
2021-02-22,51.151213992783276,54.05009302597159,50.87067788750862,52.039581298828125,235720115,0.0,0
2021-02-23,51.75904463609591,53.3019986556434,50.777166426934016,52.27336502075195,108957271,0.0,0
2021-02-24,52.03958459880636,53.301998936200654,49.98231375098461,51.244728088378906,127513410,0.0,0
2021-02-25,51.89931475366906,52.366876147846256,50.730411268226064,51.244728088378906,65898491,0.0,0
2021-02-26,50.1693357330954,51.19796930596593,49.514749110718654,50.21609115600586,67177267,0.0,0
2021-03-01,50.59013813891336,53.25524005303837,50.543382715972946,52.69416427612305,84564738,0.0,0
2021-03-02,52.78767995219493,53.25524132720602,51.291481411833296,51.4317512512207,53660155,0.0,0
2021-03-03,51.52525827770587,53.114967548276766,51.478502857114655,52.600650787353516,54816046,0.0,0
